instance,best c_max,avg c_max,avg time
in06_007.dat,2865,2865,0.61
in06_008.dat,2707,2707,0.62
in06_009.dat,3366,3366,0.61
in06_010.dat,3303,3303,0.66
in06_011.dat,2978,2978,0.65
in06_012.dat,2657,2657,0.61
in06_013.dat,3504,3504,0.62
in06_014.dat,2959,2959,0.62
in06_015.dat,3225,3226.8,0.63
in06_016.dat,3533,3533,0.63
in06_017.dat,2679,2679,0.68
in06_018.dat,2812,2812,0.66
in06_019.dat,3453,3453,0.67
in06_020.dat,2564,2564,0.62
in06_021.dat,2645,2645,0.65
in06_022.dat,3387,3387,0.61
in06_023.dat,3074,3074,0.65
in06_024.dat,3037,3037,0.62
in06_025.dat,3043,3043,0.67
in06_026.dat,2488,2488.2,0.65
in06_027.dat,3388,3388,0.62
in06_028.dat,3136,3136,0.62
in06_029.dat,2865,2865,0.71
in06_030.dat,3037,3037,0.66
in06_031.dat,3370,3370,0.64
in06_032.dat,2771,2771,0.62
in06_033.dat,3536,3536,0.62
in06_034.dat,2862,2862,0.62
in06_035.dat,3170,3170,0.65
in06_036.dat,2760,2760,0.66
in06_037.dat,2924,2924,0.62
in06_038.dat,2743,2743,0.63
in06_039.dat,2923,2927.5,0.68
in06_040.dat,3091,3091,0.66
in06_041.dat,2876,2876,0.66
in06_042.dat,2851,2851,0.64
in06_043.dat,2760,2760,0.68
in06_044.dat,2554,2554,0.63
in06_045.dat,3178,3178,0.65
in06_046.dat,2653,2653.9,0.67
in06_047.dat,3357,3358.2,0.62
in06_048.dat,3044,3044,0.69
in06_049.dat,2980,2980,0.67
in06_050.dat,2651,2651,0.64
in06_051.dat,2886,2896.2,0.63
in06_052.dat,2633,2634.2,0.65
in06_053.dat,2325,2325,0.61
in06_054.dat,2836,2839.4,0.64
in06_055.dat,2845,2845,0.63
in06_056.dat,2596,2597,0.66
in06_057.dat,2737,2738.8,0.66
in06_058.dat,3351,3351,0.63
in06_059.dat,2904,2904,0.62
in06_060.dat,3466,3466,0.67
in06_061.dat,5513,5522,3.37
in06_062.dat,6155,6157.4,3.76
in06_063.dat,4831,4831,3.38
in06_064.dat,6109,6120.9,3.75
in06_065.dat,5868,5874,3.5
in06_066.dat,5835,5842.9,3.46
in06_067.dat,6294,6296.4,3.47
in06_068.dat,5287,5291,3.31
in06_069.dat,5789,5790.3,3.54
in06_070.dat,5996,5998.7,3.5
in06_071.dat,5841,5846.8,3.64
in06_072.dat,6002,6008.7,3.49
in06_073.dat,5476,5483.1,3.43
in06_074.dat,5862,5863.2,3.75
in06_075.dat,5623,5623.8,3.48
in06_076.dat,5896,5898.2,3.59
in06_077.dat,6041,6041.9,3.36
in06_078.dat,5804,5811.9,3.75
in06_079.dat,5936,5942.2,3.51
in06_080.dat,5646,5674.3,3.84
in06_081.dat,5096,5098.1,3.67
in06_082.dat,5651,5668.5,4.13
in06_083.dat,5471,5473.6,3.91
in06_084.dat,4946,4954.2,3.87
in06_085.dat,5200,5209,4.19
in06_086.dat,4923,4926,3.77
in06_087.dat,5680,5684.9,3.81
in06_088.dat,5137,5140.3,3.81
in06_089.dat,5515,5520.6,4.24
in06_090.dat,5921,5931.3,3.96
in06_091.dat,5148,5151.2,3.85
in06_092.dat,5020,5020.8,3.7
in06_093.dat,6425,6425.3,3.68
in06_094.dat,5302,5303,3.56
in06_095.dat,6455,6458.5,4.01
in06_096.dat,6343,6345.7,3.95
in06_097.dat,5657,5658.5,3.68
in06_098.dat,5523,5534.5,3.91
in06_099.dat,5531,5531.3,3.88
in06_100.dat,5962,5966.9,3.92
in06_101.dat,5679,5681.1,4.04
in06_102.dat,6108,6113.4,3.56
in06_103.dat,5270,5271.4,3.97
in06_104.dat,5530,5530.2,3.85
in06_105.dat,5658,5662.7,4.15
in06_106.dat,4453,4459.8,4.1
in06_107.dat,4693,4693.8,3.52
in06_108.dat,6204,6206.6,4
in06_109.dat,5287,5290,3.98
in06_110.dat,5336,5339.1,3.74
in06_111.dat,6063,6063.8,4.01
in06_112.dat,5349,5355.4,3.62
in06_113.dat,5660,5664.4,4.01
in06_114.dat,6726,6728.5,4.03
in06_115.dat,5534,5534.5,3.99
in06_116.dat,5304,5309.2,3.82
in06_117.dat,5070,5074.6,3.95
in06_118.dat,5330,5334,3.8
in06_119.dat,5077,5077.6,3.9
in06_120.dat,5595,5600,4.11
in06_121.dat,8461,8470.1,10.08
in06_122.dat,8453,8461.4,9.84
in06_123.dat,8523,8530.2,10.41
in06_124.dat,9346,9353.6,10.73
in06_125.dat,7940,7957.5,10.16
in06_126.dat,8074,8090.9,10.32
in06_127.dat,8394,8403.5,10.37
in06_128.dat,8839,8851.9,10.05
in06_129.dat,8796,8818.7,10.93
in06_130.dat,8214,8228.2,10.21
in06_131.dat,8512,8525.6,10.31
in06_132.dat,8373,8382.2,9.54
in06_133.dat,8435,8442,11.11
in06_134.dat,8420,8425.5,10.24
in06_135.dat,8611,8612.8,9.73
in06_136.dat,7901,7918.5,10.43
in06_137.dat,8530,8547,9.75
in06_138.dat,8823,8832.8,10.23
in06_139.dat,9263,9279.4,11.03
in06_140.dat,8121,8138.3,10.45
in06_141.dat,7955,7963.2,11.12
in06_142.dat,8036,8043.1,11.76
in06_143.dat,8818,8823.6,10.77
in06_144.dat,7402,7419,11.41
in06_145.dat,8690,8710.5,11.4
in06_146.dat,8328,8337.8,11.3
in06_147.dat,8546,8566.7,11.13
in06_148.dat,7277,7289.3,10.57
in06_149.dat,8324,8331.7,9.88
in06_150.dat,8321,8334.1,10.66
in06_151.dat,8394,8409.1,11.99
in06_152.dat,7899,7913.7,10.18
in06_153.dat,7804,7816.8,11.47
in06_154.dat,8412,8419.2,10.38
in06_155.dat,8226,8230.1,10.39
in06_156.dat,7806,7822.8,11.2
in06_157.dat,7738,7743.6,10.95
in06_158.dat,9084,9098.1,10.84
in06_159.dat,9161,9167.4,11.2
in06_160.dat,8370,8384.3,11.37
in06_161.dat,7955,7973.1,11.7
in06_162.dat,8706,8718.1,11.64
in06_163.dat,7517,7525.6,11.11
